Дата	N	Курс 100 EUR/UAH
2016-01-06	1	2555.7954
2016-01-11	2	2524.6597
2016-01-12	3	2559.1553
2016-01-13	4	2521.1859
2016-01-14	5	2557.1144
2016-01-15	6	2608.9577
2016-01-16	7	2639.8127
2016-01-18	8	2661.1564
2016-01-19	9	2683.4749
2016-01-20	10	2700.0766
2016-01-21	11	2689.78
2016-01-22	12	2671.1526
2016-01-25	13	2679.5371
2016-01-26	14	2685.3448
2016-01-27	15	2692.8814
2016-01-28	16	2707.8972
2016-01-29	17	2742.2974
2016-02-01	18	2790.6092
2016-02-02	19	2769.8014
2016-02-03	20	2825.0462
2016-02-04	21	2809.6033
2016-02-05	22	2901.5329
2016-02-08	23	2902.7736
2016-02-09	24	2872.6498
2016-02-10	25	2915.128
2016-02-11	26	2920.1986
2016-02-12	27	2959.7138
2016-02-15	28	2948.1227
2016-02-16	29	2998.2613
2016-02-17	30	3017.0306
2016-02-18	31	2975.9522
2016-02-19	32	2933.0761
2016-02-22	33	2979.9154
2016-02-23	34	2978.6195
2016-02-24	35	2996.2691
2016-02-25	36	2988.8778
2016-02-26	37	3004.7078
2016-02-29	38	2977.6061
2016-03-01	39	2950.082
2016-03-02	40	2944.7061
2016-03-03	41	2910.5763
2016-03-04	42	2857.5468
2016-03-09	43	2906.7352
2016-03-10	44	2873.0338
2016-03-11	45	2770.6188
2016-03-12	46	2866.227
2016-03-14	47	2885.6137
2016-03-15	48	2948.4736
2016-03-16	49	2986.7012
2016-03-17	50	2970.0966
2016-03-18	51	3020.0342
2016-03-21	52	2959.9369
2016-03-22	53	2998.1633
2016-03-23	54	2926.6108
2016-03-24	55	2906.1429
2016-03-25	56	2928.1658
2016-03-28	57	2907.8848
2016-03-29	58	2931.2873
2016-03-30	59	2959.6009
2016-03-31	60	2968.9327
2016-04-01	61	2984.9437
2016-04-04	62	2984.7209
2016-04-05	63	2958.1891
2016-04-06	64	2964.2008
2016-04-07	65	2942.5906
2016-04-08	66	2932.0585
2016-04-11	67	2912.3196
2016-04-12	68	2912.4912
2016-04-13	69	2912.0366
2016-04-14	70	2879.1232
2016-04-15	71	2885.8725
2016-04-18	72	2874.6037
2016-04-19	73	2881.3074
2016-04-20	74	2886.0537
2016-04-21	75	2891.5592
2016-04-22	76	2881.1785
2016-04-25	77	2854.4548
2016-04-26	78	2854.1761
2016-04-27	79	2855.8157
2016-04-28	80	2850.0621
2016-04-29	81	2860.6859
2016-05-04	82	2873.6594
2016-05-05	83	2898.7171
2016-05-06	84	2873.8227
2016-05-10	85	2875.3385
2016-05-11	86	2866.0606
2016-05-12	87	2889.4049
2016-05-13	88	2882.8905
2016-05-16	89	2888.3128
2016-05-17	90	2875.6925
2016-05-18	91	2860.4464
2016-05-19	92	2848.764
2016-05-20	93	2828.3143
2016-05-23	94	2827.357
2016-05-24	95	2817.6221
2016-05-25	96	2806.9328
2016-05-26	97	2799.0393
2016-05-27	98	2803.1674
2016-05-30	99	2807.1913
2016-05-31	100	2803.241
2016-06-01	101	2804.2982
2016-06-02	102	2804.4047
2016-06-03	103	2802.729
2016-06-06	104	2788.7311
2016-06-07	105	2835.6223
2016-06-08	106	2832.6514
2016-06-09	107	2838.1421
2016-06-10	108	2836.0037
2016-06-13	109	2827.7344
2016-06-14	110	2813.471
2016-06-15	111	2796.7026
2016-06-16	112	2794.8822
2016-06-17	113	2782.8447
2016-06-21	114	2803.246
2016-06-22	115	2816.344
2016-06-23	116	2809.2501
2016-06-24	117	2833.9168
2016-06-29	118	2752.4899
2016-06-30	119	2756.354
2016-07-01	120	2756.4503
2016-07-02	121	2763.8642
2016-07-04	122	2763.8642
2016-07-05	123	2763.9864
2016-07-06	124	2769.328
2016-07-07	125	2749.7552
2016-07-08	126	2749.4796
2016-07-11	127	2749.4362
2016-07-12	128	2745.9078
2016-07-13	129	2755.4373
2016-07-14	130	2748.2128
2016-07-15	131	2766.7152
2016-07-18	132	2760.5427
2016-07-19	133	2747.3983
2016-07-20	134	2738.2589
2016-07-21	135	2732.5011
2016-07-22	136	2733.4953
2016-07-25	137	2732.8545
2016-07-26	138	2722.1902
2016-07-27	139	2725.6349
2016-07-28	140	2727.4551
2016-07-29	141	2750.1208
2016-08-01	142	2756.7512
2016-08-02	143	2766.8327
2016-08-03	144	2778.4581
2016-08-04	145	2779.3929
2016-08-05	146	2762.7387
2016-08-08	147	2767.318
2016-08-09	148	2751.7534
2016-08-10	149	2749.3672
2016-08-11	150	2775.4874
2016-08-12	151	2771.5661
2016-08-15	152	2794.4315
2016-08-16	153	2807.8728
2016-08-17	154	2830.4466
2016-08-18	155	2828.9974
2016-08-19	156	2849.5987
2016-08-22	157	2861.224
2016-08-23	158	2859.4187
2016-08-25	159	2869.394
2016-08-26	160	2859.6684
2016-08-29	161	2872.4421
2016-08-30	162	2847.0862
2016-08-31	163	2864.8423
2016-09-01	164	2903.3648
2016-09-02	165	2966.612
2016-09-05	166	2981.029
2016-09-06	167	2988.3635
2016-09-07	168	2996.0199
2016-09-08	169	3003.0103
2016-09-09	170	3009.0063
2016-09-12	171	3005.7262
2016-09-13	172	2989.5636
2016-09-14	173	2972.1305
2016-09-15	174	2953.6967
2016-09-16	175	2949.3035
2016-09-19	176	2907.6554
2016-09-20	177	2876.8908
2016-09-21	178	2886.0901
2016-09-22	179	2896.1701
2016-09-23	180	2913.2077
2016-09-26	181	2914.5888
2016-09-27	182	2917.0291
2016-09-28	183	2898.067
2016-09-29	184	2906.8982
2016-09-30	185	2907.5719
2016-10-03	186	2894.8166
2016-10-04	187	2912.4412
2016-10-05	188	2886.7274
2016-10-06	189	2903.4622
2016-10-07	190	2895.6767
2016-10-10	191	2878.6746
2016-10-11	192	2882.3121
2016-10-12	193	2864.1113
2016-10-13	194	2843.9755
