Дата	N	Курс 100 EUR/UAH
06.01.2016	1	2555.7954
11.01.2016	2	2524.6597
12.01.2016	3	2559.1553
13.01.2016	4	2521.1859
14.01.2016	5	2557.1144
15.01.2016	6	2608.9577
16.01.2016	7	2639.8127
18.01.2016	8	2661.1564
19.01.2016	9	2683.4749
20.01.2016	10	2700.0766
21.01.2016	11	2689.78
22.01.2016	12	2671.1526
25.01.2016	13	2679.5371
26.01.2016	14	2685.3448
27.01.2016	15	2692.8814
28.01.2016	16	2707.8972
29.01.2016	17	2742.2974
01.02.2016	18	2790.6092
02.02.2016	19	2769.8014
03.02.2016	20	2825.0462
04.02.2016	21	2809.6033
05.02.2016	22	2901.5329
08.02.2016	23	2902.7736
09.02.2016	24	2872.6498
10.02.2016	25	2915.128
11.02.2016	26	2920.1986
12.02.2016	27	2959.7138
15.02.2016	28	2948.1227
16.02.2016	29	2998.2613
17.02.2016	30	3017.0306
18.02.2016	31	2975.9522
19.02.2016	32	2933.0761
22.02.2016	33	2979.9154
23.02.2016	34	2978.6195
24.02.2016	35	2996.2691
25.02.2016	36	2988.8778
26.02.2016	37	3004.7078
29.02.2016	38	2977.6061
01.03.2016	39	2950.082
02.03.2016	40	2944.7061
03.03.2016	41	2910.5763
04.03.2016	42	2857.5468
09.03.2016	43	2906.7352
10.03.2016	44	2873.0338
11.03.2016	45	2770.6188
12.03.2016	46	2866.227
14.03.2016	47	2885.6137
15.03.2016	48	2948.4736
16.03.2016	49	2986.7012
17.03.2016	50	2970.0966
18.03.2016	51	3020.0342
21.03.2016	52	2959.9369
22.03.2016	53	2998.1633
23.03.2016	54	2926.6108
24.03.2016	55	2906.1429
25.03.2016	56	2928.1658
28.03.2016	57	2907.8848
29.03.2016	58	2931.2873
30.03.2016	59	2959.6009
31.03.2016	60	2968.9327
01.04.2016	61	2984.9437
04.04.2016	62	2984.7209
05.04.2016	63	2958.1891
06.04.2016	64	2964.2008
07.04.2016	65	2942.5906
08.04.2016	66	2932.0585
11.04.2016	67	2912.3196
12.04.2016	68	2912.4912
13.04.2016	69	2912.0366
14.04.2016	70	2879.1232
15.04.2016	71	2885.8725
18.04.2016	72	2874.6037
19.04.2016	73	2881.3074
20.04.2016	74	2886.0537
21.04.2016	75	2891.5592
22.04.2016	76	2881.1785
25.04.2016	77	2854.4548
26.04.2016	78	2854.1761
27.04.2016	79	2855.8157
28.04.2016	80	2850.0621
29.04.2016	81	2860.6859
04.05.2016	82	2873.6594
05.05.2016	83	2898.7171
06.05.2016	84	2873.8227
10.05.2016	85	2875.3385
11.05.2016	86	2866.0606
12.05.2016	87	2889.4049
13.05.2016	88	2882.8905
16.05.2016	89	2888.3128
17.05.2016	90	2875.6925
18.05.2016	91	2860.4464
19.05.2016	92	2848.764
20.05.2016	93	2828.3143
23.05.2016	94	2827.357
24.05.2016	95	2817.6221
25.05.2016	96	2806.9328
26.05.2016	97	2799.0393
27.05.2016	98	2803.1674
30.05.2016	99	2807.1913
31.05.2016	100	2803.241
01.06.2016	101	2804.2982
02.06.2016	102	2804.4047
03.06.2016	103	2802.729
06.06.2016	104	2788.7311
07.06.2016	105	2835.6223
08.06.2016	106	2832.6514
09.06.2016	107	2838.1421
10.06.2016	108	2836.0037
13.06.2016	109	2827.7344
14.06.2016	110	2813.471
15.06.2016	111	2796.7026
16.06.2016	112	2794.8822
17.06.2016	113	2782.8447
21.06.2016	114	2803.246
22.06.2016	115	2816.344
23.06.2016	116	2809.2501
24.06.2016	117	2833.9168
29.06.2016	118	2752.4899
30.06.2016	119	2756.354
01.07.2016	120	2756.4503
02.07.2016	121	2763.8642
04.07.2016	122	2763.8642
05.07.2016	123	2763.9864
06.07.2016	124	2769.328
07.07.2016	125	2749.7552
08.07.2016	126	2749.4796
11.07.2016	127	2749.4362
12.07.2016	128	2745.9078
13.07.2016	129	2755.4373
14.07.2016	130	2748.2128
15.07.2016	131	2766.7152
18.07.2016	132	2760.5427
19.07.2016	133	2747.3983
20.07.2016	134	2738.2589
21.07.2016	135	2732.5011
22.07.2016	136	2733.4953
25.07.2016	137	2732.8545
26.07.2016	138	2722.1902
27.07.2016	139	2725.6349
28.07.2016	140	2727.4551
29.07.2016	141	2750.1208
01.08.2016	142	2756.7512
02.08.2016	143	2766.8327
03.08.2016	144	2778.4581
04.08.2016	145	2779.3929
05.08.2016	146	2762.7387
08.08.2016	147	2767.318
09.08.2016	148	2751.7534
10.08.2016	149	2749.3672
11.08.2016	150	2775.4874
12.08.2016	151	2771.5661
15.08.2016	152	2794.4315
16.08.2016	153	2807.8728
17.08.2016	154	2830.4466
18.08.2016	155	2828.9974
19.08.2016	156	2849.5987
22.08.2016	157	2861.224
23.08.2016	158	2859.4187
25.08.2016	159	2869.394
26.08.2016	160	2859.6684
29.08.2016	161	2872.4421
30.08.2016	162	2847.0862
31.08.2016	163	2864.8423
01.09.2016	164	2903.3648
02.09.2016	165	2966.612
05.09.2016	166	2981.029
06.09.2016	167	2988.3635
07.09.2016	168	2996.0199
08.09.2016	169	3003.0103
09.09.2016	170	3009.0063
12.09.2016	171	3005.7262
13.09.2016	172	2989.5636
14.09.2016	173	2972.1305
15.09.2016	174	2953.6967
16.09.2016	175	2949.3035
19.09.2016	176	2907.6554
20.09.2016	177	2876.8908
21.09.2016	178	2886.0901
22.09.2016	179	2896.1701
23.09.2016	180	2913.2077
26.09.2016	181	2914.5888
27.09.2016	182	2917.0291
28.09.2016	183	2898.067
29.09.2016	184	2906.8982
30.09.2016	185	2907.5719
03.10.2016	186	2894.8166
04.10.2016	187	2912.4412
05.10.2016	188	2886.7274
06.10.2016	189	2903.4622
07.10.2016	190	2895.6767
10.10.2016	191	2878.6746
11.10.2016	192	2882.3121
12.10.2016	193	2864.1113
13.10.2016	194	2843.9755
17.10.2016	195	2846.7874
18.10.2016	196	2834.604
19.10.2016	197	2821.139
20.10.2016	198	2820.8607
21.10.2016	199	2822.2524
24.10.2016	200	2793.6526
25.10.2016	201	2792.5047
26.10.2016	202	2782.7225
27.10.2016	203	2794.7645
28.10.2016	204	2789.9676
31.10.2016	205	2784.6678
01.11.2016	206	2792.9198
02.11.2016	207	2820.7211
03.11.2016	208	2835.7351
04.11.2016	209	2831.8115
07.11.2016	210	2837.1669
08.11.2016	211	2828.6257
09.11.2016	212	2821.673
10.11.2016	213	2817.446
11.11.2016	214	2786.9466
14.11.2016	215	2794.7387
15.11.2016	216	2775.2105
16.11.2016	217	2800.1662
17.11.2016	218	2819.5147
18.11.2016	219	2792.147
21.11.2016	220	2752.4079
22.11.2016	221	2741.0778
23.11.2016	222	2724.2094
24.11.2016	223	2712.7994
25.11.2016	224	2699.027
28.11.2016	225	2724.7312
29.11.2016	226	2716.8301
30.11.2016	227	2707.3898
01.12.2016	228	2718.1545
02.12.2016	229	2724.5725
05.12.2016	230	2756.1441
06.12.2016	231	2796.1627
07.12.2016	232	2801.2932
08.12.2016	233	2791.9572
09.12.2016	234	2773.6354
12.12.2016	235	2732.6011
13.12.2016	236	2773.0928
14.12.2016	237	2770.1458
15.12.2016	238	2800.1614
16.12.2016	239	2740.0418
19.12.2016	240	2748.7803
20.12.2016	241	2750.9947
21.12.2016	242	2743.4007
22.12.2016	243	2754.2042
23.12.2016	244	2745.3112
26.12.2016	245	2743.8264
27.12.2016	246	2754.1483
28.12.2016	247	2783.6625
29.12.2016	248	2797.1574
30.12.2016	249	2842.2604
05.01.2017	250	2785.8822
06.01.2017	251	2760.3684
10.01.2017	252	2861.2462
11.01.2017	253	2872.8326
12.01.2017	254	2847.6993
13.01.2017	255	2910.2015
16.01.2017	256	2949.8168
17.01.2017	257	2936.8201
18.01.2017	258	2951.967
19.01.2017	259	2931.7325
20.01.2017	260	2927.5295
23.01.2017	261	2916.1971
24.01.2017	262	2928.6773
25.01.2017	263	2926.8848
26.01.2017	264	2922.9702
27.01.2017	265	2911.7993
30.01.2017	266	2904.4034
31.01.2017	267	2882.7535
01.02.2017	268	2912.404
02.02.2017	269	2913.1474
03.02.2017	270	2916.7527
06.02.2017	271	2908.4453
07.02.2017	272	2920.384
08.02.2017	273	2885.6547
09.02.2017	274	2870.218
10.02.2017	275	2889.5283
13.02.2017	276	2891.8143
14.02.2017	277	2887.3795
15.02.2017	278	2892.692
16.02.2017	279	2849.1748
17.02.2017	280	2874.8346
20.02.2017	281	2878.2837
21.02.2017	282	2869.0057
22.02.2017	283	2849.472
23.02.2017	284	2835.6578
24.02.2017	285	2844.8016
27.02.2017	286	2861.9442
28.02.2017	287	2864.1723
01.03.2017	288	2878.5388
02.03.2017	289	2862.9367
03.03.2017	290	2848.381
